source_id,ra,dec,pseudocolour,rp,bp,dist,gmag,x,y,z,x_norm,y_norm,z_norm,R,G,B,Name
418551920284673408,10.12724197930297,56.53718879378639,1.3951974,1.8435026,2.9869862,71.198784,1.9425238,-54.33906984189186,-45.99852606562143,-0.8172708161940203,-0.005433906984189186,-0.004599852606562142,-8.172708161940203e-05,4,242,7,Schedar
4357027756659697664,243.58621066034064,-3.694967708333353,1.3728052,1.9189217,3.482232,48.33059,2.0164251,-4.627409887524806,40.85630213955985,25.400700442348715,-0.00046274098875248056,0.004085630213955985,0.0025400700442348716,4,241,8,
5589311357728452608,109.2855942327878,-37.09744448527957,1.3361923,1.9080331,3.4506135,198.30685,2.0832374,-128.12625355563893,101.53956191964814,112.24521046300626,-0.012812625355563892,0.010153956191964814,0.011224521046300626,4,241,8,
4993479684438433792,6.57215550145885,-42.30782032569077,1.4411501,2.032224,3.301706,24.927925,2.0899775,-2.472942975478879,-0.7351852248275804,24.794061799770724,-0.0002472942975478879,-7.351852248275804e-05,0.0024794061799770723,5,241,8,
4038055447778237312,274.4060904518451,-36.76242931758906,1.1793556,1.9154117,3.742679,42.107616,2.1164951,-11.592340634585872,-22.090323459432778,33.921771375811424,-0.0011592340634585872,-0.0022090323459432776,0.0033921771375811424,4,240,9,
1279798794197267072,221.24648617076684,27.074315757773466,1.5234817,2.1027422,3.2867486,72.694786,2.1833525,-6.153538352596778,-25.6114216039897,67.75485931467651,-0.0006153538352596777,-0.00256114216039897,0.006775485931467651,5,241,8,Izar
160886283751041408,74.24843702624405,33.16601472318802,1.4004297,2.0509734,3.4961586,136.34718,2.1975422,-9.937179676946526,22.191898617702677,134.16156524788346,-0.0009937179676946526,0.002219189861770268,0.013416156524788347,5,240,8,Hassaleh
4302054339959905920,296.5649857104696,10.613252703828636,1.4283441,1.9184874,3.3967323,183.87367,2.223692,-21.286939617279955,-65.21238199286358,-170.59817688303713,-0.0021286939617279955,-0.006521238199286359,-0.017059817688303714,4,241,8,Tarazed
1222646935698492160,233.67254376294215,26.714295174747274,1.3564584,2.4125688,2.9421518,23.76685,2.2693703,-0.09390858076082598,-0.23779869777060408,23.765474787605196,-9.390858076082599e-06,-2.3779869777060407e-05,0.0023765474787605196,6,241,7,Alphecca
5111187420714898304,59.507642022011794,-13.50901261093026,1.2505059,1.9435346,3.6330206,58.66002,2.2707934,-33.898490778825426,6.26023509481901,-47.46261398064675,-0.0033898490778825428,0.000626023509481901,-0.004746261398064675,4,240,9,Zaurak
1563590579347125632,200.9823733653325,54.92525907860076,1.3844311,2.4338107,2.9681494,24.867203,2.282647,-1.3035824701337504,0.10392776591590683,-24.832793979056014,-0.00013035824701337505,1.0392776591590683e-05,-0.0024832793979056014,6,241,7,Mizar
4049506483413484672,275.24868220695066,-29.82822386700995,1.313895,2.0510972,3.4772964,128.63443,2.296982,-0.7646936331422524,2.0357497474822424,128.61604700828727,-7.646936331422524e-05,0.00020357497474822423,0.012861604700828727,5,240,8,Kaus Media
6227443304915069056,226.0172005141403,-25.2821590562471,1.0844394,2.0032084,3.9132633,80.019646,2.3034124,77.88522643887472,-13.969300468854128,-11.911922302525237,0.007788522643887473,-0.0013969300468854127,-0.0011911922302525239,5,239,9,Brachium
804753180515722624,155.58176101601168,41.49966386040507,1.4694164,2.0164533,3.6615462,56.37625,2.32451,-3.2475722185555473,44.45427868964901,-34.51886361007246,-0.0003247572218555547,0.004445427868964901,-0.0034518863610072457,5,240,9,Tania Australis
4429785739602747392,236.0675744297602,6.425832666908804,1.3922832,1.9836086,3.3184485,22.70558,2.3253543,-20.25580435915651,-9.73787958984161,3.227917903807721,-0.002025580435915651,-0.000973787958984161,0.00032279179038077207,5,241,8,Unukalhai
2106630885454013184,283.83388403904866,43.94645113267487,1.2699461,2.0015056,4.4252152,95.251526,2.3616831,43.97811582580009,84.42230440827846,-3.4136567105014497,0.004397811582580009,0.008442230440827847,-0.00034136567105014497,5,238,11,
5922444483103229952,261.3248860596135,-55.52999691705136,1.4430869,2.1189883,3.561694,218.8448,2.3912818,-96.46915604083054,-62.20123821478851,186.32700927229263,-0.009646915604083053,-0.006220123821478851,0.018632700927229264,5,240,9,
6407842789021567872,334.62477862508103,-60.25977542657531,1.6367155,2.1070552,3.5457501,56.557983,2.396663,2.150334118736448,-47.58245373458213,30.4974031812946,0.0002150334118736448,-0.0047582453734582135,0.0030497403181294603,5,240,9,
856096765753549056,165.46097417209683,56.38257749355825,1.5103593,2.515501,3.0090785,26.016953,2.3985364,-12.912947962851197,22.172871702442478,-4.301322910446489,-0.0012912947962851198,0.002217287170244248,-0.0004301322910446489,6,240,7,Merak
3704342295607157120,193.89877797423057,3.3972301950318524,1.32962,2.0112715,3.9102104,57.68708,2.4037774,-35.56236172772345,43.01558278844271,-14.586886735817972,-0.003556236172772345,0.004301558278844271,-0.0014586886735817972,5,239,9,Minelauva
4473334474604992384,265.86794661822,4.568012245771951,1.5961487,2.1105976,3.399839,25.421354,2.4423249,1.4356391851685948,-3.3639786792260726,-25.156864406539956,0.00014356391851685948,-0.00033639786792260726,-0.0025156864406539955,5,240,8,
3501215734352781440,188.59681758232725,-23.397012233844624,1.4981112,2.2373757,3.3300257,45.23901,2.448283,-7.389562105413732,-0.7508228735818581,44.62509005798016,-0.0007389562105413732,-7.50822873581858e-05,0.004462509005798016,5,240,8,Kraz
2202630001603369856,325.8769443071388,58.78002783444686,1.31507,1.9729801,4.243888,3750.2668,2.450726,-1520.8959069377775,1726.7240788952201,2961.3849237823856,-0.15208959069377775,0.172672407889522,0.2961384923782386,5,239,10,
4629125170492116224,56.81058395021464,-74.23845269276111,1.4822586,2.035936,3.8621483,66.36263,2.4740036,25.610870164638804,6.865618136892802,60.835394940160306,0.0025610870164638803,0.0006865618136892803,0.006083539494016031,5,239,9,
702343774145932544,140.2625728404832,34.39263287351821,1.4317697,2.1015406,3.7024338,67.70043,2.488654,29.749507079648126,-59.78988605094272,11.112361437523097,0.0029749507079648127,-0.005978988605094272,0.0011112361437523096,5,240,9,
1625209684868707328,245.9977069286059,61.51446351163256,1.5117016,2.2034333,3.3004897,27.97602,2.494415,4.059862691099238,5.719200929841175,-27.082576515057134,0.0004059862691099238,0.0005719200929841174,-0.0027082576515057135,5,240,8,Athebyne
6126469654585981952,182.08939329942345,-50.72248107334658,1.862067,2.6314585,2.8839037,182.8512,2.508257,162.8478947740598,-20.128712798638023,-80.6843196052783,0.01628478947740598,-0.0020128712798638025,-0.00806843196052783,6,240,7,
5917537534527580160,254.6549130347896,-55.99029939641002,1.3663999,2.1016068,3.7142208,174.1363,2.5107856,-145.14374663141967,-27.298620996376005,92.25794861788584,-0.014514374663141967,-0.0027298620996376007,0.009225794861788584,5,240,9,
5361403934691772160,161.6928645043898,-49.420476913951866,1.398524,2.2191339,3.3215032,34.44941,2.5133939,-2.2635157169001867,-22.75269431109095,25.767290263694697,-0.00022635157169001866,-0.002275269431109095,0.00257672902636947,5,240,8,
4076915349846977664,276.99244340050245,-25.422523033637848,1.4310203,2.200824,3.4018164,23.26556,2.5435061,19.21088218063156,11.315154846833844,-6.647974033317628,0.0019210882180631561,0.0011315154846833844,-0.0006647974033317628,5,240,8,Kaus Borealis
5306951892646516992,142.80522590576416,-57.03435042166543,1.4467573,2.1003063,3.7475293,68.31467,2.5465453,-8.26527589346312,-59.8464668514265,-31.89012005331662,-0.000826527589346312,-0.00598464668514265,-0.003189012005331662,5,240,9,
1297565458994346240,247.554529319034,21.48954466071868,1.7345347,2.2266295,3.36776,44.511997,2.547638,31.50654730185568,-23.034211391319086,21.402814292143113,0.003150654730185568,-0.0023034211391319086,0.002140281429214311,5,240,8,Kornephoros
1415230383034813824,262.6080575941285,52.30144332961535,1.5658044,2.2363496,3.3843937,111.89748,2.5482864,-14.115792469991069,48.168099165206954,100.00812295061503,-0.001411579246999107,0.004816809916520695,0.010000812295061503,5,240,8,Rastaban
2971266110612490624,83.18258484252563,-17.822282254766677,1.5624678,2.4545782,3.146066,644.9792,2.5535128,23.203413431427425,332.7456668379658,552.0326903710754,0.0023203413431427426,0.03327456668379658,0.055203269037107545,6,240,8,Arneb
4337352305320149760,249.28979755823173,-10.56697607712102,1.621912,2.5672572,3.0091202,135.46002,2.5565956,25.33616987958148,50.27319088823589,123.20755574293479,0.002533616987958148,0.005027319088823589,0.012320755574293478,6,240,7,
5099455184968674560,49.87942190770887,-21.75771998267506,1.3966494,2.0912385,4.1026216,94.32637,2.5895581,-85.01397628101053,34.55454722427163,-21.819055442302325,-0.008501397628101053,0.003455454722427163,-0.0021819055442302325,5,239,10,
5502164890740285696,102.48426657164552,-50.61484787877496,1.2798728,2.24651,3.558935,52.70096,2.6184993,-18.48213039333913,45.93880694647577,-18.03962464630679,-0.0018482130393339129,0.004593880694647577,-0.001803962464630679,5,240,9,
3736865265441207424,195.54291476874843,10.95923674149768,1.5184282,2.2495508,3.4062746,33.065704,2.619051,-0.8672593038715073,-0.8311991516899886,-33.04387613894129,-8.672593038715072e-05,-8.311991516899885e-05,-0.0033043876138941293,5,240,8,Vindemiatrix
2968097043228517120,82.06131804802973,-20.759815662845018,1.5183702,2.28506,3.3722863,47.87877,2.627176,-14.805986475246723,-5.912138060208702,-45.14649493332504,-0.0014805986475246722,-0.0005912138060208702,-0.004514649493332504,5,240,8,Nihal
3490234568129160704,182.5308213695673,-22.61972201098973,1.4001113,2.210329,3.595086,94.43792,2.6297014,-72.5471575306453,-23.91642214288302,55.528690062287176,-0.007254715753064529,-0.002391642214288302,0.005552869006228717,5,240,9,
5512070906394195968,112.30725962073404,-43.300592607109294,1.295773,2.1561558,3.78837,58.682957,2.6405158,32.06987593791836,-32.37131761401102,36.9771591056316,0.003206987593791836,-0.0032371317614011018,0.00369771591056316,5,239,9,
3384529341302871296,100.98300597068412,25.131074836391477,1.4636528,2.2281804,3.6414475,264.0891,2.6483977,237.562984477839,115.35461619736617,-0.44007584617793083,0.0237562984477839,0.011535461619736617,-4.400758461779308e-05,5,240,9,Mebsuta
447071293401293056,46.19914439438418,53.50642323794812,1.6545537,2.3424022,3.3605478,70.26686,2.651,42.09471616874388,-55.82914925897756,-6.969402983850059,0.004209471616874388,-0.005582914925897756,-0.0006969402983850059,5,240,8,
2026116260337482112,292.6803397469523,27.959624176962155,1.4333062,2.2553923,3.6049168,111.870186,2.651682,92.72324838603868,52.13650622705915,34.62834738839546,0.009272324838603867,0.005213650622705915,0.003462834738839546,5,240,9,Albireo
2900546759663847168,84.91226376039107,-34.07421247244894,2.0337584,2.7412972,3.034529,88.53307,2.6532035,78.08066820037672,6.988215389961925,-41.14217523018291,0.007808066820037672,0.0006988215389961925,-0.004114217523018291,6,240,7,Phact
2962546605447869184,76.36538394458108,-22.37136760251376,1.4016392,2.1938875,3.7436643,64.04133,2.6534927,-33.756236059536505,-48.95840633659601,23.767265813351404,-0.0033756236059536504,-0.004895840633659602,0.00237672658133514,5,239,9,
779106556394253824,167.41547770774767,44.4983642995888,1.4454758,2.2429957,3.5629916,43.104153,2.68003,-22.978070645169527,-29.62346812737952,21.27031761349927,-0.0022978070645169528,-0.0029623468127379523,0.002127031761349927,5,240,9,
510204838759030144,21.45661245731054,60.23506761138098,1.5622442,2.5794432,3.1518147,31.191748,2.6805298,22.954860252089972,-13.589889108395504,-16.1652234170777,0.002295486025208997,-0.0013589889108395503,-0.0016165223417077702,6,240,8,
4683897617110115200,6.482504988433097,-77.25279546754571,1.5144895,2.371489,3.2956264,7.477886,2.6807318,-2.0522225744307008,-0.41455277531012313,-7.178809617929403,-0.00020522225744307008,-4.1455277531012313e-05,-0.0007178809617929403,6,240,8,
1339952869195300608,258.7616572468772,36.8091745480388,1.3847266,2.2475624,3.727473,111.94971,2.7025177,28.717098350425232,64.3510686918763,-86.98853826585156,0.002871709835042523,0.006435106869187631,-0.008698853826585156,5,239,9,
5859405805013401984,184.39008382548533,-67.96085330413052,1.2914417,2.1071463,4.428343,99.72711,2.7034264,-23.016415196580432,33.14887864702893,91.19700074506436,-0.0023016415196580433,0.003314887864702893,0.009119700074506435,5,238,11,
2671038928727970944,322.8898027828743,-5.571211107815946,1.4591846,2.383934,3.4768906,166.1203,2.7120852,-96.65563075917208,80.46487420779744,108.53131867511753,-0.009665563075917209,0.008046487420779744,0.010853131867511754,6,240,8,Sadalsuud
1381119031215320576,247.16079375745315,41.881650687920455,1.2347381,2.0481105,5.179862,117.59425,2.7236698,30.850086201613884,-50.79869169127922,-101.47005832692643,0.0030850086201613886,-0.005079869169127922,-0.010147005832692643,5,236,13,
4049975081571729920,271.45176593069976,-30.424938157908525,1.5839761,2.3486998,3.5833697,30.77675,2.7243106,4.918403939860114,16.128169223347854,25.746840597438815,0.0004918403939860114,0.0016128169223347854,0.0025746840597438815,5,239,9,Alnasl
1887953690728237568,340.7506395031158,30.221130397877182,1.6652759,2.3579993,3.4672363,59.950542,2.7250793,2.4639936246266743,21.875690593848283,-55.76244598790284,0.0002463993624626674,0.002187569059384828,-0.005576244598790284,6,240,8,Matar
2680356911816018048,331.44606406642515,-0.3198973999999683,1.2975967,2.34932,3.4987617,211.9376,2.727835,1.6173356120596107,-201.17901446409903,-66.64784061416998,0.00016173356120596107,-0.020117901446409903,-0.006664784061416998,5,240,8,
5239828735016184448,160.7389810431919,-64.39440583205966,1.7812494,2.9133205,2.9690163,133.01189,2.7347076,-0.952766661639996,-0.5426821904940925,-133.00737052171465,-9.52766661639996e-05,-5.426821904940925e-05,-0.013300737052171465,7,240,7,
3557567320183657472,162.40663105834716,-16.19275976302023,1.3959597,2.2684374,3.6567402,42.013695,2.7356641,-21.435100254498767,30.36984403146369,19.579571449272862,-0.0021435100254498765,0.003036984403146369,0.001957957144927286,5,239,9,
3017190546641718144,83.85826322361507,-5.909896048091421,1.5886507,2.9466283,3.0577648,697.2429,2.7408419,-369.81970173169896,533.5986258709198,254.270635898354,-0.0369819701731699,0.05335986258709198,0.0254270635898354,7,239,7,Hatysa
5698015743046182272,121.8856299797689,-24.304115553778075,1.602732,2.5121741,3.302004,19.456121,2.7505891,-10.57525702235631,7.8160903265646615,14.339222966560177,-0.0010575257022356309,0.0007816090326564661,0.0014339222966560177,6,240,8,Tureis
4935615308047192576,22.091261274313453,-43.31915413670581,1.4628243,2.2247913,3.913792,73.78502,2.7603414,-57.855970659379864,-5.811545879901165,45.421820416482426,-0.005785597065937987,-0.0005811545879901165,0.004542182041648243,5,239,9,
5610441600394646016,105.42975475577698,-27.934808608833123,1.3494561,2.2132776,3.9819047,395.59085,2.7605493,-69.12702232772611,366.54631785606483,-131.74738044449003,-0.006912702232772611,0.03665463178560648,-0.013174738044449004,5,239,10,Unurgunite
6071060144089351808,183.7860104400386,-58.748974282250245,1.5877001,2.9570413,2.9493272,146.00034,2.7730124,0.24413671184582084,-85.95719404476866,-118.01440788874687,2.4413671184582083e-05,-0.008595719404476865,-0.011801440788874688,7,239,7,Imai
6194563955869054848,199.7307355656656,-23.17171089276008,1.3736862,2.3616364,3.5164533,39.317284,2.776534,-3.5494143797033324,14.52921564384755,36.36141322160604,-0.00035494143797033323,0.001452921564384755,0.0036361413221606045,6,240,8,
3211922645854328832,76.9620005509911,-5.086810304091459,1.7215501,2.6321695,3.0676498,27.548819,2.7777147,0.07072428829998598,10.075291684082634,25.640220822966032,7.072428829998597e-06,0.0010075291684082633,0.002564022082296603,6,240,7,Cursa
641662895638787584,146.46258258682883,23.7742057827888,1.4648874,2.4172122,3.478155,69.824,2.7839565,-5.436022830682375,13.668566339821,-68.25694782216834,-0.0005436022830682375,0.0013668566339821,-0.006825694782216834,6,239,8,
5826168461855385472,238.7838064740902,-63.43251144584002,1.6362871,2.5581625,3.1869626,12.411818,2.784391,10.23664610525802,0.23307547832170328,-7.014982423515753,0.0010236646105258019,2.3307547832170326e-05,-0.0007014982423515753,6,240,8,
4082115215112774272,287.440967928891,-21.02377872569698,1.6061184,2.509724,3.206772,160.18932,2.803014,1.3416560068773098,90.89227488394103,-131.89925158105984,0.00013416560068773097,0.009089227488394103,-0.013189925158105985,6,240,8,Albaldah
2887731882922767744,87.74026611929386,-35.76651139745324,1.3952454,2.3761399,3.675863,27.114756,2.8041787,-9.357117186046851,2.1349990886118264,25.35934008995008,-0.0009357117186046852,0.00021349990886118265,0.002535934008995008,6,239,9,Wazn
2255173119658513408,288.13986191145926,67.66194921202765,1.5195111,2.3575332,3.6039166,29.995356,2.8079169,2.226241011932153,-2.7298360036689147,-29.787803341579256,0.0002226241011932153,-0.0002729836003668915,-0.0029787803341579256,6,239,9,Altais
168726523212358272,58.53304404662457,31.88359461391294,1.770426,2.6726608,3.0236056,262.18216,2.8219895,-94.05414136998309,214.29804070340668,118.19328772862653,-0.00940541413699831,0.021429804070340668,0.011819328772862653,6,240,7,
6838311796136238976,326.76139246141946,-16.128607188133948,1.4783916,2.6031075,3.2903588,11.628346,2.836813,-10.607873888885727,-0.37946204747820983,4.74841561025739,-0.0010607873888885727,-3.7946204747820985e-05,0.000474841561025739,6,239,8,Deneb Algedi
1824534959611831680,296.84697410021977,18.53431498544213,1.2985176,2.2010698,4.136857,166.36938,2.8368227,5.302742340924186,158.08206745266108,-51.58208482741361,0.0005302742340924186,0.015808206745266108,-0.005158208482741361,5,238,10,
6875990375999580544,305.2529803545091,-14.781406001156812,1.7606509,2.418401,3.4970086,118.290924,2.8368742,61.70679580146986,35.20758124544046,-94.58033767932524,0.006170679580146986,0.003520758124544046,-0.009458033767932524,6,239,8,Dabih
205499655242974464,75.49223197537926,43.8232966883712,1.5427684,2.4622104,3.4227417,1062.489,2.847648,1044.4545307882586,98.47765535281704,-168.2253239946065,0.10444545307882586,0.009847765535281704,-0.01682253239946065,6,239,8,Almaaz
6674382927491854848,309.3921343889334,-47.2912080024033,1.4372452,2.3804884,3.6026647,30.370678,2.8521497,-1.6385150660379975,-29.901690536872778,5.057890231622618,-0.00016385150660379975,-0.0029901690536872777,0.0005057890231622618,6,239,9,
2769202742740232960,3.3089703843753013,15.183550741446307,1.9179891,3.0053737,3.1004689,145.8271,2.8534293,124.46652773933059,21.029677007626255,73.01629442719867,0.012446652773933059,0.0021029677007626253,0.007301629442719867,7,239,7,Algenib
1823067317695766784,299.6895907690142,19.4922471120651,1.378061,2.2505422,3.947543,88.08431,2.8593628,-23.015550674422236,-66.64815748898945,52.793495798744566,-0.0023015550674422235,-0.006664815748898946,0.005279349579874457,5,239,10,
2610370969483589888,343.1537089468947,-7.579451402482835,1.3612996,2.187995,4.121875,108.69729,2.8595295,-22.151529915317568,-19.432695768634204,-104.62686514905526,-0.0022151529915317566,-0.0019432695768634204,-0.010462686514905527,5,238,10,
4039970797062166400,267.4647360322948,-37.0432231563698,1.3973864,2.3466864,3.6930728,40.3425,2.860071,-29.069683305171683,-13.309473530199098,24.60342929625771,-0.002906968330517168,-0.0013309473530199098,0.002460342929625771,5,239,9,Fuyue
5958043164999014400,266.8961644868148,-40.127021345862346,1.4622514,2.5202127,3.4239361,845.6093,2.8666828,633.0591872203928,-88.7025979990277,-553.5548778852631,0.06330591872203928,-0.008870259799902771,-0.05535548778852631,6,239,8,
2199493438511811712,332.7137697826255,58.20128527773775,1.4234596,2.2879689,3.8604443,304.51245,2.8701382,-23.812307419182954,7.237095374299021,303.49370779461003,-0.0023812307419182953,0.0007237095374299021,0.030349370779461003,5,239,9,
583588100209595776,133.84799100696154,5.945628593892272,1.4341063,2.4316075,3.6310704,46.85293,2.8702028,-14.338255113618908,41.81910998208154,-15.516878880375696,-0.0014338255113618909,0.004181910998208155,-0.0015516878880375696,6,239,9,
5253347574087339776,154.27049434677835,-61.3322788093693,1.4199016,2.3154151,3.8724155,232.18369,2.8710227,-15.617915004911497,-5.392388926767877,231.59505343287867,-0.0015617915004911497,-0.0005392388926767877,0.023159505343287867,5,239,9,
2858629802998456576,9.832595312681915,30.86050281776377,1.5937283,2.3436282,3.7642562,31.760933,2.8720777,-24.773335052337117,-10.70303947545244,-16.747647040764893,-0.0024773335052337116,-0.001070303947545244,-0.0016747647040764892,5,239,9,
6235406071207202688,239.7129047279004,-26.114226866466357,2.2387395,3.005157,2.9451551,102.71831,2.8735147,33.1214907552985,46.499366491874625,-85.3921950488281,0.00331214907552985,0.004649936649187463,-0.00853921950488281,7,239,7,Fang
5538814190283894656,116.31367447237092,-37.96856044058731,1.280813,2.2165406,4.063076,341.72055,2.875049,-328.4708043308545,-24.597800287703148,-90.96600032732152,-0.03284708043308545,-0.0024597800287703146,-0.009096600032732152,5,238,10,
4444057469252265984,254.41575470820635,9.374984808370574,1.4429524,2.377902,3.6867857,26.883678,2.8820894,26.812298482189806,-1.4291121760149441,1.3380699899527198,0.0026812298482189805,-0.0001429112176014944,0.00013380699899527196,6,239,9,
5823248090239625088,229.72661750917956,-68.67968528286241,1.7059641,2.8071659,3.1268473,58.40795,2.882312,-48.975803523635115,-20.152002967968826,24.632419060980702,-0.004897580352363511,-0.0020152002967968826,0.0024632419060980704,7,239,7,
229898024422755840,59.4635951705249,40.0100950978535,1.860824,3.0281403,3.0366888,189.41818,2.904279,124.48088356478374,-28.70884193502557,139.85549304976504,0.012448088356478374,-0.002870884193502557,0.013985549304976504,7,239,7,
1517698716348324992,194.0056156711975,38.31862104268021,1.5090696,2.9376268,3.1570334,30.44808,2.9043932,17.74272024710732,-17.312594074092438,17.67924037805322,0.001774272024710732,-0.0017312594074092437,0.001767924037805322,7,239,8,Cor Caroli
2079784488001577600,296.2439176177008,45.13102484391075,1.9173234,2.896631,3.1492846,46.99356,2.9163165,11.443763314902972,15.480149845813761,42.86956873374437,0.0011443763314902971,0.0015480149845813762,0.004286956873374438,7,239,8,Fawaris
2093931938472201600,283.62614120001314,36.89862858866195,1.3677231,2.2079637,4.5929546,236.6844,2.922179,104.65728270609358,127.3250746662179,-169.86666459661487,0.010465728270609358,0.01273250746662179,-0.016986666459661487,5,237,11,
5249119024128109952,146.77535748906328,-65.07197322907481,1.6535019,2.6290834,3.3240633,277.02554,2.9269278,109.581478508956,-132.4211522419085,-217.254891358073,0.0109581478508956,-0.013242115224190849,-0.0217254891358073,6,239,8,
2281778105594488192,354.83578083298244,77.63312481414683,1.4812523,2.4036362,3.6605105,13.782625,2.9429574,8.38073508397819,-1.3885244818713427,10.853388001266977,0.0008380735083978189,-0.00013885244818713426,0.0010853388001266977,6,239,9,Errai
6270558110774003968,211.59312413128,-26.68298802578797,1.4057307,2.442711,3.7761185,32.287865,2.948431,-0.2971400558000315,-0.5931936101051346,-32.28104792887608,-2.971400558000315e-05,-5.931936101051346e-05,-0.003228104792887608,6,239,9,
3520586071217872896,187.46509027380264,-16.51605134463174,1.7211396,2.949156,3.1486783,26.280506,2.9649055,-9.340124936416187,15.57012566532737,18.99995390926216,-0.0009340124936416187,0.001557012566532737,0.0018999953909262161,7,239,8,Algorab
6007749027577770496,230.4510369940133,-36.26175434023988,1.3171288,2.3475041,4.00992,85.43725,2.965608,-5.0057422450305396,-10.205276418038835,84.67773358664152,-0.000500574224503054,-0.0010205276418038835,0.008467773358664152,5,238,10,
6762701233364896000,286.734746992432,-27.67154143141872,1.4287307,2.4567673,3.8061733,35.208836,2.9668314,19.145826211704854,21.786212993737948,-19.96147275472366,0.0019145826211704855,0.002178621299373795,-0.001996147275472366,6,239,9,
1614731957531452544,231.23232031031,58.96614273564597,1.3477725,2.4086325,3.7606664,30.750261,2.9729202,-7.360810692610406,21.826779206945243,20.371272099869852,-0.0007360810692610407,0.002182677920694524,0.0020371272099869854,6,239,9,Edasich
